trns,ids,row_keep,id_final,comments
NCT04283825; ChiCTR2000030136,tri00120 (FALSE); tri07287 (TRUE),TRUE,tri07287,NA
ChiCTR2000030480; NCT04293887,tri00300 (TRUE),FALSE,NA,NA
ChiCTR2000030480; NCT04293887,tri00300 (TRUE); tri00327 (TRUE),TRUE,tri00327,NA
NCT04293887,tri00300 (TRUE); tri00327 (TRUE),FALSE,NA,NA
ChiCTR2000030906; NCT04313127,tri00516 (TRUE),FALSE,NA,NA
ChiCTR2000030906; NCT04313127,tri00516 (TRUE); tri02014 (TRUE),TRUE,tri02014,NA
ChiCTR2000031319; NCT04336254,tri00569 (TRUE),FALSE,NA,NA
ChiCTR2000031319; NCT04336254,tri00569 (TRUE); tri00766 (TRUE),TRUE,tri00766,NA
EUCTR2020-001281-11,tri00649 (FALSE); tri06094 (TRUE),FALSE,NA,NA
EUCTR2020-001010-38; NCT04316377,tri00651 (TRUE),FALSE,NA,NA
EUCTR2020-001010-38; NCT04316377,tri00651 (TRUE); tri02934 (TRUE),TRUE,tri02934,NA
ChiCTR2000031781; NCT04341389,tri00699 (TRUE),FALSE,NA,NA
ChiCTR2000031781; NCT04341389,tri00699 (TRUE); tri02023 (TRUE),TRUE,tri02023,NA
EUCTR2020-001442-19,tri00719 (FALSE); tri00757 (TRUE),FALSE,NA,NA
EUCTR2020-001385-11,tri00720 (FALSE); tri01281 (TRUE),FALSE,NA,NA
NCT04332094; EUCTR2020-001442-19,tri00757 (TRUE),FALSE,NA,NA
NCT04332094; EUCTR2020-001442-19,tri00719 (FALSE); tri00757 (TRUE),TRUE,tri00757,NA
NCT04336254,tri00569 (TRUE); tri00766 (TRUE),FALSE,NA,NA
EUCTR2020-001160-28,tri00833 (FALSE); tri02937 (TRUE),FALSE,NA,NA
EUCTR2020-001587-29,tri00840 (FALSE); tri02535 (TRUE),FALSE,NA,NA
EUCTR2020-001689-12,tri00841 (FALSE); tri03026 (TRUE),FALSE,NA,NA
EUCTR2020-001266-11,tri00845 (TRUE); tri00992 (TRUE),FALSE,NA,NA
NCT04324047; EUCTR2020-001246-18,tri00659 (FALSE),TRUE,tri00659,NA
NCT04324047; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
EUCTR2020-001246-18; NCT04324073,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04324073,tri00908 (TRUE),TRUE,tri00908,NA
NCT04341584,tri00931 (TRUE),TRUE,tri00931,NA
NCT04341584; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04343144,tri00937 (TRUE),TRUE,tri00937,NA
NCT04343144; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04344756,tri00953 (TRUE),TRUE,tri00953,NA
NCT04344756; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04344782,tri00954 (TRUE),TRUE,tri00954,NA
NCT04344782; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04331808,tri01097 (TRUE),TRUE,tri01097,NA
NCT04331808; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04346797,tri01116 (TRUE),TRUE,tri01116,NA
NCT04346797; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04345991,tri05354 (TRUE),TRUE,tri05354,NA
EUCTR2020-001246-18; NCT04345991,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04476979,tri05726 (TRUE),TRUE,tri05726,NA
NCT04476979; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04341870,tri01493 (TRUE),TRUE,tri01493,NA
NCT04341870; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04348461; EUCTR2020-001266-11,tri00992 (TRUE),FALSE,NA,NA
NCT04348461; EUCTR2020-001266-11,tri00845 (TRUE); tri00992 (TRUE),TRUE,tri00992,NA
EUCTR2020-001951-42; NCT04351763,tri01014 (TRUE); tri02440 (FALSE),TRUE,tri01014,NA
EUCTR2020-001951-42; NCT04351763,tri01014 (TRUE),FALSE,NA,NA
EUCTR2020-001255-40,tri01075 (FALSE); tri07171 (TRUE),FALSE,NA,NA
EUCTR2020-001500-41,tri01082 (FALSE); tri01096 (TRUE),FALSE,NA,NA
NCT04330638; EUCTR2020-001500-41,tri01096 (TRUE),FALSE,NA,NA
NCT04330638; EUCTR2020-001500-41,tri01082 (FALSE); tri01096 (TRUE),TRUE,tri01096,NA
NCT04357613; EUCTR2020-001251-41,tri01153 (TRUE); tri08270 (TRUE),TRUE,tri01153,NA
CTRI/2020/05/025271; NCT04358809,tri01167 (TRUE); tri04528 (FALSE),TRUE,tri01167,NA
CTRI/2020/05/025271; NCT04358809,tri01167 (TRUE),FALSE,NA,NA
NCT04359290; EUCTR2020-001732-10,tri01170 (TRUE),FALSE,NA,NA
NCT04359290; EUCTR2020-001732-10,tri01170 (TRUE); tri02236 (FALSE),TRUE,tri01170,NA
NCT04322396; EUCTR2020-001198-55,tri01265 (TRUE); tri01798 (TRUE),TRUE,tri01798,NA
NCT04322396; EUCTR2020-001198-55,tri01265 (TRUE),FALSE,NA,NA
EUCTR2020-001823-15,tri01267 (FALSE); tri06081 (FALSE),FALSE,NA,NA
NCT04334928; EUCTR2020-001385-11,tri01281 (TRUE),FALSE,NA,NA
NCT04334928; EUCTR2020-001385-11,tri00720 (FALSE); tri01281 (TRUE),TRUE,tri01281,NA
EUCTR2020-001635-27,tri01398 (FALSE); tri06787 (TRUE),FALSE,NA,NA
EUCTR2020-001766-11,tri01399 (FALSE); tri06911 (FALSE),FALSE,NA,NA
EUCTR2020-001709-21,tri01401 (FALSE); tri03368 (TRUE),FALSE,NA,NA
EUCTR2020-001598-66,tri01403 (FALSE); tri01930 (TRUE),FALSE,NA,NA
NCT04331808; EUCTR2020-001246-18,tri01404 (FALSE); tri01922 (TRUE); tri03940 (TRUE),FALSE,NA,NA
EUCTR2020-001953-36,tri01418 (FALSE); tri05886 (TRUE),FALSE,NA,NA
NCT04280705; EUCTR2020-001052-18; JPRN-jRCT2031190264; ISRCTN13035264,tri01483 (TRUE),FALSE,NA,NA
CTRI/2020/05/024959; NCT04475588,tri01763 (TRUE); tri05711 (TRUE),TRUE,tri05711,NA
NCT04322396,tri01265 (TRUE); tri01798 (TRUE),FALSE,NA,NA
NCT04346199; PER-018-20; EUCTR2020-001644-25; CTRI/2020/06/026228,tri01805 (TRUE),FALSE,NA,NA
NCT04346199; PER-018-20; EUCTR2020-001644-25; CTRI/2020/06/026228,tri01805 (TRUE); tri01827 (TRUE),TRUE,tri01805,NA
NCT04346199; PER-018-20; EUCTR2020-001644-25; CTRI/2020/06/026228,tri01805 (TRUE); tri04697 (FALSE),FALSE,NA,NA
NCT04380688; EUCTR2020-001644-25,tri01827 (TRUE),FALSE,NA,NA
NCT04380688; EUCTR2020-001644-25,tri01805 (TRUE); tri01827 (TRUE),FALSE,NA,NA
NCT04380688,tri01827 (TRUE),TRUE,tri01827,"i added this row. us cohort of related trial but not mentioned in other registrations, so considered separate trial."
EUCTR2020-002130-33; NCT04382755,tri01856 (TRUE); tri02443 (FALSE),TRUE,tri01856,NA
EUCTR2020-002130-33; NCT04382755,tri01856 (TRUE),FALSE,NA,NA
NCT04362085,tri01906 (TRUE); tri03604 (TRUE),FALSE,NA,NA
EUCTR2020-001786-36; ISRCTN15913068; NCT04379076,tri01404 (FALSE); tri01922 (TRUE); tri03940 (TRUE),FALSE,NA,NA
EUCTR2020-001786-36; ISRCTN15913068; NCT04379076,tri01922 (TRUE); tri03940 (TRUE),FALSE,NA,NA
EUCTR2020-001598-66; NCT04384731,tri01403 (FALSE); tri01930 (TRUE),TRUE,tri01930,NA
EUCTR2020-001598-66; NCT04384731,tri01930 (TRUE),FALSE,NA,NA
EUCTR2020-001805-21,tri02007 (FALSE); tri04069 (FALSE); tri06052 (TRUE),FALSE,NA,NA
NCT04313127,tri00516 (TRUE); tri02014 (TRUE),FALSE,NA,NA
NCT04341389,tri00699 (TRUE); tri02023 (TRUE),FALSE,NA,NA
NCT04393038; PER-069-20; EUCTR2020-001673-75,tri02142 (TRUE),FALSE,NA,NA
NCT04393038; PER-069-20; EUCTR2020-001673-75,tri02142 (TRUE); tri02226 (FALSE),TRUE,tri02142,NA
ISRCTN30564012; EUCTR2020-001643-13,tri02217 (FALSE),FALSE,NA,NA
ISRCTN30564012; EUCTR2020-001643-13,tri02217 (FALSE); tri08351 (TRUE),FALSE,NA,NA
ISRCTN88057279,tri01972 (FALSE); tri02220 (FALSE),FALSE,NA,NA
EUCTR2020-001573-78,tri02223 (FALSE); tri03432 (TRUE),FALSE,NA,NA
EUCTR2020-001673-75,tri02142 (TRUE); tri02226 (FALSE),FALSE,NA,NA
EUCTR2020-001623-13,tri02230 (FALSE); tri02461 (TRUE),FALSE,NA,NA
NCT04594668; EUCTR2020-001420-34,tri02235 (TRUE); tri06615 (TRUE),TRUE,tri06615,NA
EUCTR2020-001732-10,tri01170 (TRUE); tri02236 (FALSE),FALSE,NA,NA
EUCTR2020-002111-22,tri02436 (FALSE); tri07082 (TRUE),FALSE,NA,NA
EUCTR2020-001904-41,tri02437 (FALSE); tri05242 (TRUE),FALSE,NA,NA
EUCTR2020-001849-39,tri02439 (FALSE); tri06256 (TRUE),FALSE,NA,NA
EUCTR2020-001951-42,tri01014 (TRUE); tri02440 (FALSE),FALSE,NA,NA
EUCTR2020-002130-33,tri01856 (TRUE); tri02443 (FALSE),FALSE,NA,NA
NCT04320615; EUCTR2020-001154-22; ISRCTN13593711,tri02447 (TRUE); tri08224 (TRUE),TRUE,tri02447,NA
NCT04348513; EUCTR2020-001623-13,tri02461 (TRUE),FALSE,NA,NA
NCT04348513; EUCTR2020-001623-13,tri02230 (FALSE); tri02461 (TRUE),TRUE,tri02461,NA
NCT04363827; EUCTR2020-001501-24,tri02468 (TRUE),FALSE,NA,NA
NCT04363827; EUCTR2020-001501-24,tri02468 (TRUE); tri03689 (FALSE),TRUE,tri02468,NA
NCT04410562; EUCTR2020-001587-29,tri02535 (TRUE),FALSE,NA,NA
NCT04410562; EUCTR2020-001587-29,tri00840 (FALSE); tri02535 (TRUE),TRUE,tri02535,NA
NCT04417335; EUCTR2020-001591-15; NL8547,tri02652 (FALSE); tri07288 (TRUE),TRUE,tri07288,NA
NCT04417335; EUCTR2020-001591-15; NL8547,tri02652 (FALSE),FALSE,NA,NA
ISRCTN59048638,tri02657 (TRUE); tri05790 (TRUE),FALSE,NA,NA
EUCTR2020-001376-15; NCT04387409,tri02675 (TRUE),FALSE,NA,NA
EUCTR2020-001376-15; NCT04387409,tri02675 (TRUE); tri03217 (TRUE),TRUE,tri03217,NA
NCT04316377,tri00651 (TRUE); tri02934 (TRUE),FALSE,NA,NA
NCT04335305; EUCTR2020-001160-28,tri02937 (TRUE),FALSE,NA,NA
NCT04335305; EUCTR2020-001160-28,tri00833 (FALSE); tri02937 (TRUE),TRUE,tri02937,NA
NCT04348656,tri02944 (TRUE); tri02990 (TRUE),FALSE,NA,NA
EUCTR2020-001038-36,tri02442 (FALSE); tri05392 (TRUE),FALSE,NA,NA
NCT04416399; EUCTR2020-001889-10,tri02982 (TRUE),FALSE,NA,NA
NCT04416399; EUCTR2020-001889-10,tri02982 (TRUE); tri03187 (FALSE),TRUE,tri02982,NA
NCT04418518; NCT04348656,tri02990 (TRUE),FALSE,NA,NA
NCT04418518; NCT04348656,tri02944 (TRUE); tri02990 (TRUE),TRUE,tri02944,both nct extracted but one is obsolete so use current record
NCT04322682; EUCTR2020-001689-12,tri03026 (TRUE),FALSE,NA,NA
NCT04322682; EUCTR2020-001689-12,tri00841 (FALSE); tri03026 (TRUE),TRUE,tri03026,NA
NCT04334460; RBR-2kjm6y,tri03029 (TRUE),FALSE,NA,NA
NCT04334460; RBR-2kjm6y,tri03029 (TRUE); tri05284 (FALSE),TRUE,tri03029,NA
NCT04463004; NCT04492514; NCT04399980,tri03086 (TRUE); tri05580 (TRUE),TRUE,tri03086,multiple nct for each location of same trial. choose earliest registration
NCT04463004; NCT04492514; NCT04399980,tri03086 (TRUE); tri05866 (TRUE),FALSE,NA,NA
NCT04463004; NCT04492514; NCT04399980,tri03086 (TRUE),FALSE,NA,NA
NCT04425460; EUCTR2020-001608-40,tri03130 (TRUE),FALSE,NA,NA
NCT04425460; EUCTR2020-001608-40,tri03130 (TRUE); tri04111 (TRUE),TRUE,tri03130,NA
ACTRN12620000674932,tri03166 (FALSE); tri05893 (TRUE),FALSE,NA,NA
ISRCTN89951424; NCT04536051,tri03168 (TRUE),FALSE,NA,NA
ISRCTN89951424; NCT04536051,tri03168 (TRUE); tri06214 (FALSE),TRUE,tri03168,NA
EUCTR2020-001636-95,tri03185 (FALSE); tri05577 (TRUE),FALSE,NA,NA
EUCTR2020-002293-28,tri03186 (FALSE); tri06939 (TRUE),FALSE,NA,NA
EUCTR2020-001889-10,tri02982 (TRUE); tri03187 (FALSE),FALSE,NA,NA
EUCTR2020-002233-15,tri03189 (FALSE); tri07896 (TRUE),FALSE,NA,NA
EUCTR2020-001736-95,tri03192 (FALSE); tri04068 (TRUE),FALSE,NA,NA
NCT04382053; EUCTR2020-001870-32; CTRI/2020/08/027077; PER-055-20,tri03212 (TRUE); tri10336 (TRUE),TRUE,tri03212,NA
NCT04382053; EUCTR2020-001870-32; CTRI/2020/08/027077; PER-055-20,tri03212 (TRUE),FALSE,NA,NA
NCT04387409,tri02675 (TRUE); tri03217 (TRUE),FALSE,NA,NA
NCT03963622,tri03273 (FALSE); tri07375 (FALSE),TRUE,tri07375,neither extracted
EUCTR2020-001709-21; NCT04373707,tri01401 (FALSE); tri03368 (TRUE),TRUE,tri03368,NA
EUCTR2020-001709-21; NCT04373707,tri03368 (TRUE),FALSE,NA,NA
NCT04280705; EUCTR2020-001052-18; JPRN-jRCT2031190264; ISRCTN13035264,tri01483 (TRUE); tri03418 (TRUE),TRUE,tri01483,keep EUCTR2020-001052-18 associated with only ACTT-1
NCT04401579; JPRN-jRCT2031200035,tri01483 (TRUE); tri03418 (TRUE),TRUE,tri03418,added row. keep EUCTR2020-001052-18 associated with only ACTT-1
NCT04401579; JPRN-jRCT2031200035; EUCTR2020-001052-18,tri03418 (TRUE),FALSE,NA,NA
NCT04401579; JPRN-jRCT2031200035; EUCTR2020-001052-18,tri01483 (TRUE); tri03418 (TRUE),FALSE,NA,NA
NCT04407689; EUCTR2020-001573-78,tri03432 (TRUE),FALSE,NA,NA
NCT04407689; EUCTR2020-001573-78,tri02223 (FALSE); tri03432 (TRUE),TRUE,tri03432,NA
NCT04438850; EUCTR2020-002283-32,tri03542 (TRUE),FALSE,NA,NA
NCT04438850; EUCTR2020-002283-32,tri03542 (TRUE); tri03981 (FALSE),TRUE,tri03542,NA
NCT04444674; PACTR202006922165132,tri03602 (TRUE),FALSE,NA,NA
NCT04444674; PACTR202006922165132,tri03602 (TRUE); tri04418 (FALSE),TRUE,tri03602,NA
NCT04444700; NCT04362085,tri03604 (TRUE),FALSE,NA,NA
NCT04444700; NCT04362085,tri01906 (TRUE); tri03604 (TRUE),TRUE,tri01906,two nct. choose earlier and more complete (more locations).
NCT04449380; EUCTR2020-002458-25,tri03664 (TRUE),FALSE,NA,NA
NCT04449380; EUCTR2020-002458-25,tri03664 (TRUE); tri03980 (FALSE),TRUE,tri03664,NA
EUCTR2020-001501-24,tri02468 (TRUE); tri03689 (FALSE),FALSE,NA,NA
EUCTR2020-002106-68,tri03890 (FALSE); tri05935 (TRUE),FALSE,NA,NA
ISRCTN15913068; EUCTR2020-001786-36; NCT04379076,tri01922 (TRUE); tri03940 (TRUE),FALSE,NA,NA
ISRCTN15913068; EUCTR2020-001786-36; NCT04379076,tri01404 (FALSE); tri01922 (TRUE); tri03940 (TRUE),TRUE,tri01922,NA
EUCTR2020-002458-25,tri03664 (TRUE); tri03980 (FALSE),FALSE,NA,NA
EUCTR2020-002283-32,tri03542 (TRUE); tri03981 (FALSE),FALSE,NA,NA
EUCTR2020-002027-10,tri04054 (FALSE); tri05712 (TRUE),FALSE,NA,NA
EUCTR2020-001736-95; ISRCTN57085639,tri03192 (FALSE); tri04068 (TRUE),TRUE,tri04068,NA
EUCTR2020-001736-95; ISRCTN57085639,tri04068 (TRUE),FALSE,NA,NA
ISRCTN53038326; EUCTR2020-001805-21,tri04069 (FALSE); tri06052 (TRUE),FALSE,NA,NA
ISRCTN53038326; EUCTR2020-001805-21,tri02007 (FALSE); tri04069 (FALSE); tri06052 (TRUE),FALSE,NA,NA
EUCTR2020-001608-40,tri03130 (TRUE); tri04111 (TRUE),FALSE,NA,NA
EUCTR2020-001857-31,tri04217 (FALSE); tri06736 (TRUE),FALSE,NA,NA
EUCTR2020-002234-32,tri04239 (FALSE); tri06054 (TRUE),FALSE,NA,NA
PACTR202006922165132,tri03602 (TRUE); tri04418 (FALSE),FALSE,NA,NA
NCT04466241; PACTR202007720062393,tri04421 (TRUE); tri06956 (TRUE),TRUE,tri06956,NA
PACTR202009726132275,tri04425 (TRUE); tri06191 (TRUE),FALSE,NA,NA
CTRI/2020/05/025271,tri01167 (TRUE); tri04528 (FALSE),FALSE,NA,NA
CTRI/2020/05/025370,tri04561 (FALSE); tri06273 (TRUE),FALSE,NA,NA
CTRI/2020/06/026228,tri01805 (TRUE); tri04697 (FALSE),FALSE,NA,NA
CTRI/2020/08/026957; NCT04494204,tri04843 (TRUE),FALSE,NA,NA
CTRI/2020/08/026957; NCT04494204,tri04843 (TRUE); tri05877 (TRUE),TRUE,tri05877,NA
CTRI/2020/11/028976,tri05161 (FALSE); tri06896 (TRUE),FALSE,NA,NA
ISRCTN31062548; EUCTR2020-001904-41,tri05242 (TRUE),FALSE,NA,NA
ISRCTN31062548; EUCTR2020-001904-41,tri02437 (FALSE); tri05242 (TRUE),TRUE,tri05242,NA
EUCTR2020-002504-39,tri05244 (FALSE); tri06266 (TRUE),FALSE,NA,NA
EUCTR2020-004695-18,tri05245 (FALSE); tri08953 (TRUE),FALSE,NA,NA
RBR-2kjm6y,tri03029 (TRUE); tri05284 (FALSE),FALSE,NA,NA
RBR-4nr86m,tri05301 (FALSE); tri06336 (TRUE),FALSE,NA,NA
EUCTR2020-002641-42; NCT04368728,tri02956 (TRUE),FALSE,NA,NA
NCT04368728; NCT04380701; EUCTR2020-001038-36,tri02956 (TRUE); tri05392 (TRUE),FALSE,NA,NA
NCT04368728; NCT04380701; EUCTR2020-001038-36,tri05392 (TRUE),FALSE,NA,NA
NCT04368728; NCT04380701; EUCTR2020-001038-36,tri02442 (FALSE); tri05392 (TRUE),FALSE,NA,NA
EUCTR2020-002641-42; NCT04368728,tri02956 (TRUE); tri05392 (TRUE),TRUE,tri02956,NA
NCT04380701; EUCTR2020-001038-36,tri02442 (FALSE); tri05392 (TRUE); tri02956 (TRUE),TRUE,tri05392,added row
NCT04462757; EUCTR2020-001636-95,tri05577 (TRUE),FALSE,NA,NA
NCT04462757; EUCTR2020-001636-95,tri03185 (FALSE); tri05577 (TRUE),TRUE,tri05577,NA
NCT04463004,tri03086 (TRUE); tri05580 (TRUE),FALSE,NA,NA
NCT04475107,tri05702 (TRUE); tri07829 (TRUE),FALSE,NA,NA
EUCTR2020-002027-10; NCT04475601,tri04054 (FALSE); tri05712 (TRUE),TRUE,tri05712,NA
EUCTR2020-002027-10; NCT04475601,tri05712 (TRUE),FALSE,NA,NA
NCT04483830; ISRCTN59048638,tri05790 (TRUE),FALSE,NA,NA
NCT04483830; ISRCTN59048638,tri02657 (TRUE); tri05790 (TRUE),TRUE,tri05790,NA
NCT04492514,tri03086 (TRUE); tri05866 (TRUE),FALSE,NA,NA
NCT04494204,tri04843 (TRUE); tri05877 (TRUE),FALSE,NA,NA
EUCTR2020-001953-36; NCT04495101,tri01418 (FALSE); tri05886 (TRUE),TRUE,tri05886,NA
EUCTR2020-001953-36; NCT04495101,tri05886 (TRUE),FALSE,NA,NA
NCT04495933; ACTRN12620000674932; ISRCTN51232965,tri05893 (TRUE),FALSE,NA,NA
NCT04495933; ACTRN12620000674932; ISRCTN51232965,tri03166 (FALSE); tri05893 (TRUE),TRUE,tri05893,NA
NCT04499677; EUCTR2020-002106-68,tri05935 (TRUE),FALSE,NA,NA
NCT04499677; EUCTR2020-002106-68,tri03890 (FALSE); tri05935 (TRUE),TRUE,tri05935,NA
NCT04501978; EUCTR2020-003278-37; CTRI/2021/01/030830,tri05951 (TRUE),FALSE,NA,NA
NCT04501978; EUCTR2020-003278-37; CTRI/2021/01/030830,tri05951 (TRUE); tri07847 (FALSE),TRUE,tri05951,NA
ISRCTN53038326; EUCTR2020-001805-21; NCT04516915,tri04069 (FALSE); tri06052 (TRUE),FALSE,NA,NA
ISRCTN53038326; EUCTR2020-001805-21; NCT04516915,tri02007 (FALSE); tri04069 (FALSE); tri06052 (TRUE),TRUE,tri06052,NA
ISRCTN53038326; EUCTR2020-001805-21; NCT04516915,tri06052 (TRUE),FALSE,NA,NA
NCT04516941; EUCTR2020-002234-32,tri06054 (TRUE),FALSE,NA,NA
NCT04516941; EUCTR2020-002234-32,tri04239 (FALSE); tri06054 (TRUE),TRUE,tri06054,NA
NCT04520620; EUCTR2020-001823-15,tri06081 (FALSE),FALSE,NA,NA
NCT04520620; EUCTR2020-001823-15,tri01267 (FALSE); tri06081 (FALSE),TRUE,tri06081,neither extracted chose nct
NCT04522466; EUCTR2020-001281-11,tri06094 (TRUE),FALSE,NA,NA
NCT04522466; EUCTR2020-001281-11,tri00649 (FALSE); tri06094 (TRUE),TRUE,tri06094,NA
PACTR202009726132275; NCT04533399,tri04425 (TRUE); tri06191 (TRUE),TRUE,tri06191,NA
PACTR202009726132275; NCT04533399,tri06191 (TRUE),FALSE,NA,NA
NCT04536051,tri03168 (TRUE); tri06214 (FALSE),FALSE,NA,NA
NCT04541979; EUCTR2020-001849-39,tri06256 (TRUE),FALSE,NA,NA
NCT04541979; EUCTR2020-001849-39,tri02439 (FALSE); tri06256 (TRUE),TRUE,tri06256,NA
NCT04542408; EUCTR2020-002504-39,tri06266 (TRUE),FALSE,NA,NA
NCT04542408; EUCTR2020-002504-39,tri05244 (FALSE); tri06266 (TRUE),TRUE,tri06266,NA
NCT04542876; CTRI/2020/05/025370,tri06273 (TRUE),FALSE,NA,NA
NCT04542876; CTRI/2020/05/025370,tri04561 (FALSE); tri06273 (TRUE),TRUE,tri06273,NA
NCT04552483; RBR-4nr86m,tri06336 (TRUE),FALSE,NA,NA
NCT04552483; RBR-4nr86m,tri05301 (FALSE); tri06336 (TRUE),TRUE,tri06336,NA
NCT04555148,tri06348 (TRUE); tri07329 (TRUE),FALSE,NA,NA
EUCTR2020-001420-34; NCT04594668,tri02235 (TRUE); tri06615 (TRUE),FALSE,NA,NA
EUCTR2020-003369-20; PER-105-20; NCT04602000,tri06655 (TRUE); tri08942 (FALSE),TRUE,tri06655,NA
EUCTR2020-003369-20; PER-105-20; NCT04602000,tri06655 (TRUE),FALSE,NA,NA
NCT04614025; EUCTR2020-001857-31,tri06736 (TRUE),FALSE,NA,NA
NCT04614025; EUCTR2020-001857-31,tri04217 (FALSE); tri06736 (TRUE),TRUE,tri06736,NA
EUCTR2020-001635-27; NCT04622865,tri01398 (FALSE); tri06787 (TRUE),TRUE,tri06787,NA
EUCTR2020-001635-27; NCT04622865,tri06787 (TRUE),FALSE,NA,NA
CTRI/2020/11/028976; NCT04641481,tri05161 (FALSE); tri06896 (TRUE),TRUE,tri06896,NA
CTRI/2020/11/028976; NCT04641481,tri06896 (TRUE),FALSE,NA,NA
